Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1784,106590,Sally,Bermuda,Charleston,,3,"Brown, Thomas"
1784,106591,Mentor,"Antigua, place unspecified",Savannah,,7,
1784,106592,Polly and Harriot,"Jamaica, place unspecified",Savannah,,50,Wadlington??]
1784,106593,William,"Americas, port unspecified",Savannah,,14,
1784,106594,Polly and Harriot,Curaçao,Savannah,,6,Wadlington
1784,106595,Felix,Kingston,New Orleans,,26,
1784,106596,Empress,"Jamaica, place unspecified",New Orleans,,25,
1784,106598,,"Americas, port unspecified","South Carolina, place unspecified",,6,
1784,106599,,"Americas, port unspecified","South Carolina, place unspecified",,50,
1784,106600,Mary,"Tortola, port unspecified",Charleston,,,"Taylor, H"
1784,106601,,"Americas, port unspecified","South Carolina, place unspecified",,13,
1784,106602,Charlotte,"Jamaica, place unspecified",Charleston,,13,"Taylor, [John?]"
1784,106603,,"Americas, port unspecified",Charleston,,6,
1785,106604,,"Americas, port unspecified","Georgia, port unspecified",,30,
1785,106605,Savana,Cap Français,Louisiana,,42,"Gortary, Juan Lino"
1785,106608,Postillón,"Americas, port unspecified",Louisiana,,,
1785,106611,Success,"Jamaica, place unspecified",Charleston,,3,Morrison
1785,106612,Free Love,"Americas, port unspecified",Charleston,,29,Eles
1785,106613,Polly,St. John (Virgin Islands),Charleston,,19,Wilson
1785,106615,Charlotte,"Jamaica, place unspecified",Charleston,,38,"Taylor, [John?]"
1785,106616,Littlewill,Bermuda,Charleston,,15,Prudden
1785,106617,Anna Maria,"Jamaica, place unspecified",Charleston,,21,
1785,106618,General Shirley,"Jamaica, place unspecified",Charleston,,2,Michals
1785,106619,Peace of Plenty,Bermuda,Charleston,,1,Yeates
1785,106621,Adventure,"Jamaica, place unspecified",Charleston,,9,Brand
1785,106623,Peace of Plenty,Turk's Island,Charleston,,4,Poulton
1785,106624,Georgetown,"Jamaica, place unspecified",Charleston,,5,McAdams
1785,106625,Porgy,"Jamaica, place unspecified",Charleston,,6,"Bassett, [James?]"
1785,106627,Castlesemple,"Jamaica, place unspecified",Savannah,,,Buchanan
1785,106629,Gibralter,Kingston,Brunswick,,3,"Chilton, John"
1785,106631,,"Americas, port unspecified","South Carolina, place unspecified",,20,
1785,106633,,"Americas, port unspecified","South Carolina, place unspecified",,6,
1785,106634,,"Americas, port unspecified","South Carolina, place unspecified",,6,
1786,106637,Eliza,"Jamaica, place unspecified",Charleston,,76,Christian
1786,106638,Lady Langford,"Jamaica, place unspecified",Charleston,,8,Laton
1786,106639,Betsey,"Americas, port unspecified",Charleston,,83,Conyers
1786,106640,Adventure,"Jamaica, place unspecified",Charleston,,5,Brand
1786,106641,Fair Trader,"Jamaica, place unspecified",Charleston,,1,Hunt
1786,106642,Porgy,"Jamaica, place unspecified",Charleston,,1,"Bassett, [James?]"
1786,106645,Friendship,"Jamaica, place unspecified",Charleston,,4,Barlow
1786,106646,Friendship,"Jamaica, place unspecified",Charleston,,15,Stewart
1786,106650,Nancy,"Jamaica, place unspecified",Charleston,,2,Cunningham
1786,106651,Triumph,"Jamaica, place unspecified",Charleston,,31,Dennison
1786,106652,Suckey and Sophia,"Americas, port unspecified",Charleston,,24,Dyer
1786,106653,Gibralter,"Jamaica, place unspecified",Charleston,,3,Griffin
1786,106654,Friendship,"Jamaica, place unspecified",Charleston,,2,Barlow
1786,106655,Fair Trader,"Jamaica, place unspecified",Charleston,,3,Brownbill
1786,106656,Betsey,"Jamaica, place unspecified",Charleston,,2,Lancaster
1786,106657,Lonely Mary,"Jamaica, place unspecified",Charleston,,6,Martin
1786,106658,Eliza,"Antigua, place unspecified",Charleston,,5,Craig
1786,106659,Jane,"Jamaica, place unspecified",Charleston,,2,Warren
1786,106660,Ferrit,"Jamaica, place unspecified",Charleston,,3,Pamug
1786,106661,Carolina,"Americas, port unspecified",Charleston,,4,"Saltonsall, G"
1786,106662,Active,Bermuda,Charleston,,5,Whitter
1786,106663,,"Americas, port unspecified",Savannah,,,Bray
1786,106664,Wilhelmina,"Americas, port unspecified","Georgia, port unspecified",,,Rosendale
1786,106665,Alert,"Americas, port unspecified",Charleston,,,
1786,106666,,"Americas, port unspecified",New Orleans,,170,
1786,106667,Polly,St. Eustatius,Brunswick,,9,"Wood, Joseph"
1786,106668,Betsey,"Jamaica, place unspecified",Roanoke,,9,"Willis, William"
1786,106669,Jesse,"Jamaica, place unspecified",Brunswick,,2,"Heartwell, John"
1786,106670,Experiment,St. Eustatius,Beaufort,,5,
1786,106672,Jane,San Domingo (a) Santo Domingo,Brunswick,,7,"Jones, Conrad"
1786,106673,Sally,"Jamaica, place unspecified",Brunswick,,5,"Jocelin, Amaziah"
1786,106674,Hope,"Jamaica, place unspecified",Brunswick,,2,"Smart, James"
1786,106675,Camden,"Americas, port unspecified",Roanoke,,80,"Grinald, Richard"
1786,106676,Betsey,"Americas, port unspecified",Charleston,,,
1786,106677,,"Americas, port unspecified","South Carolina, place unspecified",,13,
1786,106678,Adriana,"Jamaica, place unspecified",Charleston,,10,Smith
1787,106681,Neptune,"Jamaica, place unspecified",Charleston,,10,"Thomson, [Archibald?]"
1787,106682,Perseverance,"Antigua, place unspecified",Charleston,,14,Bel
1787,106683,Hercules,"Americas, port unspecified",Charleston,,2,Green
1787,106684,Liberty,"Antigua, place unspecified",Charleston,,2,Wainwright
1787,106685,General Campbell,"Jamaica, place unspecified",Charleston,,11,"Chinic [Clunie, Andrew?]"
1787,106686,Porgy,"Jamaica, place unspecified",Charleston,,14,"Bassett, [James?]"
1787,106688,Hope,Mosquito Shore,Charleston,,50,Blight
1787,106689,Betsey,Bermuda,Charleston,,1,Prudden
1787,106690,Two Friends,St. Maarten,Charleston,,3,Holmes
1787,106691,Anna,"Americas, port unspecified",Savannah,,,
1787,106692,Hercules,"St. Kitts, port unspecified",Charleston,,,
1787,106693,,"Americas, port unspecified",Savannah,,8,
1787,106694,,"Americas, port unspecified","Georgia, port unspecified",,3,
1787,106695,Mississippian,Caribbean (colony unspecified),New Orleans,,200,
1787,106699,Camden,"Americas, port unspecified","North Carolina, port unspecified",,70,"Grinald, Richard?]"
1787,106700,Friendship,Lucea (a) St. Lucea,Brunswick,,14,"Somerset, John"
1787,106701,Sandwich,St. Eustatius,Beaufort,,1,"Pate, John"
1787,106703,Chatham,Nova Scotia,Beaufort,,1,"Cheyney, Daniel"
1787,106706,Polly,St. Eustatius,Beaufort,,2,"Crafts, Benjamin"
1787,106708,Robert,Martha Brae,Brunswick,,6,"Duncan, George"
1787,106709,Robert,"Jamaica, place unspecified",Brunswick,,2,"Corran, William"
1787,106710,Seaflower,St. Eustatius,Beaufort,,1,"Edens, John"
1788,106717,Feliz,"St. Barthélemy, port unspecified",Louisiana,,228,
1788,106718,,"Americas, port unspecified",Savannah,,11,
1788,106720,Sally,"Americas, port unspecified","Georgia, port unspecified",,20,
1788,106723,Little Peggy,Martha Brae,Brunswick,,1,"Duncan, George"
1788,106724,Beaver,Nova Scotia,"North Carolina, port unspecified",,2,"Clark, Samuel"
1788,106725,Polly,Montego Bay,Brunswick,,1,"Troup, John"
1789,106728,Gobernador Miró,"Jamaica, place unspecified",Louisiana,,103,"Clarke, Daniel??]"
1789,106729,Louisiana,"Jamaica, place unspecified",Louisiana,,99,
1789,106730,Guipuscoano,"Martinique, place unspecified",Louisiana,,89,
1789,106732,Navarro,"Jamaica, place unspecified",Louisiana,,29,
1789,106733,,"Americas, port unspecified",Savannah,,9,
1789,106734,Terrible,Curaçao,Brunswick,,1,"Marrenner, Peter W"
1789,106735,Nancy,Port-au-Prince,New Bern,,2,"Duquod, Alexander"
1789,106736,Cornwallace,"Jamaica, place unspecified",Beaufort,,2,"Nixon, Thomas"
1789,106737,Marian,"St. Lucia, port unspecified","North Carolina, port unspecified",,2,"Eastwood, Matthais"
1789,106738,Nancy,Montego Bay,Brunswick,,2,"Hume, Ebenezer"
1789,106739,Little Peggy,Montego Bay,Brunswick,,1,"Ballenton, Thomas"
1789,106740,New Hope,Montego Bay,Brunswick,,3,"Smart, James"
1789,106741,John,New Providence,Brunswick,,2,"Howell, John"
1789,106742,Commerce,Montego Bay,Brunswick,,1,"Musson, Robert D"
1789,106743,New Hope,Montego Bay,Brunswick,,4,"Smart, James"
1789,106744,Nancy,Montego Bay,Brunswick,,2,"Rundle, Joseph"
1789,106745,Eliza,"Jamaica, place unspecified",Brunswick,,2,"Goddard, Lemuel"
1789,106746,Mariah,Cap Français,New Bern,,12,"Morrison, John"
1789,106747,Little Peggy,Montego Bay,Brunswick,,4,"Ballenton, Thomas"
1789,106748,Speedwell,St. Croix,Savannah,,2,"Gage, David"
1789,106749,Lady Shammelmann,St. Croix,Savannah,,6,"Forster, Joseph"
1789,106750,Fanny,"Montserrat, port unspecified",Savannah,,5,"Rodgers, William"
1789,106751,Fanny,"Montserrat, port unspecified",Savannah,,,"Rodgers, William"
1789,106752,Mary,St. Croix,Savannah,,8,"Wathington, Bannard"
1790,106753,Sally,"Trinidad, port unspecified",New Orleans,,50,Driscoll
1790,106754,Santa Catalina,Havana,Louisiana,,7,"Garrick, Santiago"
1790,106756,Favorecida,"Jamaica, place unspecified",Louisiana,,51,
1790,106758,Charlotte,Lucea (a) St. Lucea,Brunswick,,2,"Linney, John"
1790,106759,Fanny,"Americas, port unspecified",Savannah,,5,"Rodgers, William"
1790,106760,Sally,St. Maarten,Savannah,,3,Williams
1790,106761,Lady Shammelmann,St. Croix,Savannah,,6,"Forster, Joseph"
1790,106762,Fairy,St. Eustatius,Savannah,,2,"Bidlake, John"
1790,106763,Betsey,St. Croix,Savannah,,3,"Buttman, John"
1790,106764,Speedwell,St. Croix,Savannah,,2,"Gage, David"
1790,106765,Bermuda,Caribbean (colony unspecified),Savannah,,3,"Harvey, Henry"
1790,106766,Ann,"Jamaica, place unspecified",Savannah,,12,"Williams, Robert"
1790,106767,Margaret,"Grenada, place unspecified",Savannah,,4,"Harvie, Allan"
1790,106768,Little Jean,Caribbean (colony unspecified),Savannah,,2,"Morrison, Rodrick"
1790,106769,Little Peggy,"Jamaica, place unspecified",Savannah,,2,"Simpson, Drummond"
1790,106770,Faulkner,"Jamaica, place unspecified",Savannah,,6,"Cunnain, Matthew"
1792,106771,Rosalía,Havana,Louisiana,,44,"Armand, Sebastian"
1792,106772,Victoria,Cap Français,Louisiana,,,"Cola, Juan Bautista"
1792,106773,Louisiana,"Americas, port unspecified",Louisiana,,35,
1792,106774,Dichosa,"Americas, port unspecified",Louisiana,,36,"Costa, Manuel??]"
1792,106775,Amelia,"Grenada, place unspecified",Savannah,,,Robertson
1792,106776,Dolphin,St. Eustatius,Savannah,,18,"Hickman, Nathaniel"
1792,106778,Alert,"Americas, port unspecified","Georgia, port unspecified",,1,"Bennet, Robert"
1792,106779,Robert,"Americas, port unspecified",Savannah,,4,"Steel, E"
1792,106780,Mercury,"Americas, port unspecified","Georgia, port unspecified",,1,
1792,106781,Minerva,Turk's Island,"Georgia, port unspecified",,1,"Brownton, Thomas"
1792,106782,Clarissa,St. Eustatius,Havana,,,"Mcniel, William"
1793,106783,Louisiana,"Americas, port unspecified",Louisiana,,41,
1793,106784,Dichosa,"Americas, port unspecified",Louisiana,,11,"Costa, Manuel??]"
1793,106785,George,"Grenada, place unspecified",Savannah,,,Parsons
1793,106786,,"Americas, port unspecified",Savannah,,2,
1795,106787,,"Americas, port unspecified",Savannah,,100,
1795,106788,,"Americas, port unspecified",Savannah,,60,
1795,106789,Hazard,"Jamaica, place unspecified",Savannah,,36,"Johnston, Thomas"
1795,106790,,"Americas, port unspecified",Savannah,,20,
1795,106791,Paloma,"Americas, port unspecified",New Orleans,,,"Aranda, Gaspard"
1795,106792,San Francisco,"Americas, port unspecified",Savannah,,26,Havier
1795,106793,Syren of Kennebeck,Kingston,Savanna la Mar,,95,"Lilly, Cowens (a) Converse"
1795,106794,Lark,St. Croix,"Georgia, port unspecified",,1,"Hansen, John"
1795,106795,Harmony,"Jamaica, place unspecified",Savannah,,19,"Baldwin, P"
1796,106796,Hazard,"Jamaica, place unspecified",Savannah,,36,"Johnston, Thomas"
1796,106797,Tryal,"Jamaica, place unspecified",Savannah,,8,"Kinner, Hugh"
1796,106798,Fortune,"Saint-Domingue, then Haiti, port unspecified",Savannah,,7,"Johnson, Edward"
1797,106799,Fortunas,Port-au-Prince,Savannah,,7,"Johnston, Edward"
1798,106800,Edward and Mary,"Martinique, place unspecified",Savannah,,19,"Godfrey, William"
1798,106801,,"Americas, port unspecified",Savannah,,10,
1798,106802,Roebuck,"Americas, port unspecified",Savannah,,133,"Dismount, Dennis"
1798,106803,Fortunas,Port-au-Prince,Savannah,,7,"Johnston, Edward"
1803,106805,Ann,,Havana,,,
1803,106806,,"Americas, port unspecified",Savannah,,12,
1803,106807,,"Americas, port unspecified",Savannah,,14,
1803,106808,,"Americas, port unspecified",Savannah,,10,
1803,106809,,"Americas, port unspecified",Savannah,,10,
1803,106810,Lady Nelson,"Americas, port unspecified",Savannah,,2,
1803,106811,Hannah,"Saint-Domingue, then Haiti, port unspecified",Savannah,,7,"Buell, Benjamin"
1803,106812,Fawn,"Cuba, port unspecified",New Orleans,,,
1803,106813,Sophie,"Cuba, port unspecified",New Orleans,,,
1803,106814,Farmer,"Cuba, port unspecified",New Orleans,,,
1804,106815,,"Americas, port unspecified","South Carolina, place unspecified",,9,
1804,106816,,"Americas, port unspecified","South Carolina, place unspecified",,30,
1804,106817,,"Americas, port unspecified","South Carolina, place unspecified",,20,
1804,106818,,"Americas, port unspecified","South Carolina, place unspecified",,3,
1804,106819,,"Americas, port unspecified","South Carolina, place unspecified",,17,
1804,106821,,"Americas, port unspecified","South Carolina, place unspecified",,7,
1804,106822,,"Americas, port unspecified","South Carolina, place unspecified",,2,
1804,106823,,"Americas, port unspecified","South Carolina, place unspecified",,2,
1804,106824,,"Americas, port unspecified","South Carolina, place unspecified",,10,
1804,106825,,"Americas, port unspecified","South Carolina, place unspecified",,50,
1804,106826,,"Americas, port unspecified","South Carolina, place unspecified",,25,
1804,106827,,"Americas, port unspecified","South Carolina, place unspecified",,1,
1804,106828,,"Americas, port unspecified","South Carolina, place unspecified",,30,
1804,106829,,"Americas, port unspecified","South Carolina, place unspecified",,10,
1804,106830,,"Americas, port unspecified","South Carolina, place unspecified",,40,
1804,106831,,"Americas, port unspecified","South Carolina, place unspecified",,30,
1804,106832,,"Americas, port unspecified","South Carolina, place unspecified",,5,
1804,106833,Active,"St. Vincent, port unspecified",New Orleans,,5,"Stotesberry, Arthur"
1804,106834,Mary,"Americas, port unspecified",Charleston,,110,"Lightborne, Wilkinson"
1804,106835,,"Americas, port unspecified",Savannah,,10,
1804,106836,,"Americas, port unspecified",Savannah,,25,
1804,106837,,"Americas, port unspecified",New Orleans,,40,
1804,106838,,"Americas, port unspecified",New Orleans,,84,
1804,106839,Saint Loren,Havana,New Orleans,,108,
1804,106840,,"Americas, port unspecified",New Orleans,,34,
1804,106841,,"Americas, port unspecified",New Orleans,,11,
1804,106842,Laurel,St. Thomas,"Florida, port unspecified",,10,
1804,106843,Jason,"Jamaica, place unspecified",New Orleans,,1,"Palmer, Henry"
1804,106844,Two Friends,"Jamaica, place unspecified",New Orleans,,120,"Larosa, P"
1804,106845,Neptune,"Jamaica, place unspecified",New Orleans,,41,"Capauze, J"
1804,106846,Laurel,St. Thomas,"Florida, port unspecified",,25,
1804,106847,Maria,"Puerto Rico, port unspecified",St. Augustine,,7,Brown
1804,106848,Nancy,Kingston,New Orleans,,,Belhome
1804,106849,Two Friends,Havana,New Orleans,,58,
1805,106850,Lupin,"Americas, port unspecified",Charleston,,,
1805,106851,Manning,"Americas, port unspecified",Charleston,,,
1805,106853,Wanton,"Tortola, port unspecified",Charleston,,13,Steele
1805,106854,,"Americas, port unspecified","South Carolina, place unspecified",,30,
1805,106855,,"Americas, port unspecified","South Carolina, place unspecified",,1,
1805,106856,,"Americas, port unspecified","South Carolina, place unspecified",,2,
1805,106857,,"Americas, port unspecified","South Carolina, place unspecified",,9,
1805,106858,,"Americas, port unspecified","South Carolina, place unspecified",,30,
1805,106859,,"Americas, port unspecified","South Carolina, place unspecified",,6,
1805,106860,,"Americas, port unspecified","South Carolina, place unspecified",,12,
1805,106861,,"Americas, port unspecified",New Orleans,,50,
1806,106862,Davenport,"Americas, port unspecified",Charleston,,,
1806,106863,Mary Ann,"Americas, port unspecified",Charleston,,,
1806,106864,,"Americas, port unspecified","South Carolina, place unspecified",,9,
1806,106865,,"Americas, port unspecified","South Carolina, place unspecified",,5,
1806,106866,,"Americas, port unspecified","South Carolina, place unspecified",,8,
1806,106867,,"Americas, port unspecified","South Carolina, place unspecified",,10,
1806,106868,,"Americas, port unspecified","South Carolina, place unspecified",,29,
1806,106869,,"Americas, port unspecified","South Carolina, place unspecified",,20,
1806,106870,,"Americas, port unspecified","South Carolina, place unspecified",,14,
1806,106871,Hazard,Charleston,New Orleans,,9,Anderson
1806,106872,,"Americas, port unspecified",New Orleans,,40,
1806,106873,William,"South Carolina, place unspecified",New Orleans,,74,Potter
1806,106874,,"Americas, port unspecified",New Orleans,,13,
1806,106875,,"Americas, port unspecified",New Orleans,,15,
1806,106876,,"Americas, port unspecified",New Orleans,,15,
1806,106877,Amelia,Charleston,New Orleans,,37,Brooks
1806,106878,Ester,Havana,"Florida, port unspecified",,3,
1806,106879,,"Americas, port unspecified","South Carolina, place unspecified",,30,
1807,106881,Heron,"Americas, port unspecified",Charleston,,,
1807,106882,,"Americas, port unspecified","South Carolina, place unspecified",,6,
1807,106883,,"Americas, port unspecified","South Carolina, place unspecified",,6,
1807,106884,,"Americas, port unspecified","South Carolina, place unspecified",,25,
1807,106885,,"Americas, port unspecified","South Carolina, place unspecified",,15,
1807,106886,,"Americas, port unspecified","South Carolina, place unspecified",,30,
1807,106887,,"Americas, port unspecified","South Carolina, place unspecified",,7,
1807,106888,,"Americas, port unspecified","South Carolina, place unspecified",,15,
1807,106889,,"Americas, port unspecified","South Carolina, place unspecified",,15,
1807,106890,,"Americas, port unspecified","South Carolina, place unspecified",,20,
1807,106891,,"Americas, port unspecified","South Carolina, place unspecified",,8,
1807,106892,,"Americas, port unspecified","South Carolina, place unspecified",,12,
1807,106893,Nancy,Charleston,New Orleans,,,Robinson
1807,106895,Brother and Sister,Kingston,Charleston,,39,Nautre
1807,106896,,"Americas, port unspecified","South Carolina, place unspecified",,20,
1807,106897,New Orleans,Havana,Charleston,,88,Alexander
1807,106898,Loren,Havana,New Orleans,,108,
1807,106899,John Jones,Caribbean (colony unspecified),New Orleans,,214,Tittermay
1807,106900,,"Americas, port unspecified",New Orleans,,62,
1807,106901,,"Americas, port unspecified",New Orleans,,3,
1807,106902,,"Americas, port unspecified",New Orleans,,26,
1807,106903,,"Americas, port unspecified",Savannah,,54,
1808,106905,Franklin,"Cuba, port unspecified",New Orleans,,45,"Ehrenshion, Andrew J"
1808,106906,James,"Americas, port unspecified",New Orleans,,43,"Shearman, James"
1808,106907,Adherbal,"Americas, port unspecified",New Orleans,,4,
1808,106908,Louisiana Packet,"Americas, port unspecified",New Orleans,,,
1810,106909,Bellona,"Americas, port unspecified","Florida, port unspecified",,300,"Dias de Carvelho, Jada"
1810,106910,Amanda,"Americas, port unspecified","Florida, port unspecified",,28,Sequi
1810,106911,Alexandria,"Jamaica, place unspecified",New Orleans,,127,
1810,106912,,"Americas, port unspecified",New Orleans,,104,
1810,106913,Moreveto,"Americas, port unspecified",Louisiana,,,
1810,106914,Guillamne [William?],"Americas, port unspecified",Louisiana,,,
1810,106915,Neptune,"Americas, port unspecified",New Orleans,,,
1810,106916,Epine,"Americas, port unspecified",Sold at sea to another vessel,,14,
1780,106917,Fortunate,"Americas, port unspecified",Brunswick,,36,
1780,106918,,Charleston,Wilmington,,,
1702,106919,Ann,Rappahannock,Roanoke,,,"Prince, Richard"
1704,106920,Speedwell,Patuxent,Roanoke,,,"Bedgood, Jeffrey"
1723,106921,Adventure,New York,"North Carolina, port unspecified",,,"Vangelder, Tunis"
1724,106922,Adventure,Charleston,"North Carolina, port unspecified",,,"Sipkins, Burges"
1725,106923,Adventure,New York,"North Carolina, port unspecified",,,"Vangelder, Tunis"
1725,106924,Peter and Mary,New York,"North Carolina, port unspecified",,,"Sayre, Jonathan"
1726,106925,John and Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John"
1727,106926,Pheby,Charleston,"North Carolina, port unspecified",,,"Stollard, John"
1727,106927,Lark,York River,"North Carolina, port unspecified",,,"Sandersen, Richard"
1727,106928,John and Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John"
1727,106929,Greyhound,Lower James River,"North Carolina, port unspecified",,,"Corblin, John"
1728,106930,John and Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John Jr."
1728,106931,John and Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John Jr."
1729,106932,Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John Jr."
1730,106933,Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John Sr."
1730,106934,Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John Sr."
1732,106935,Margaret,New York,"North Carolina, port unspecified",,,"Vanpelt, John"
1732,106936,John and Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John"
1733,106937,John,Perth Amboy,"North Carolina, port unspecified",,,"Moore, Enoch"
1733,106938,Johannah,Perth Amboy,"North Carolina, port unspecified",,,"FitzRandolph, Joseph"
1733,106939,John and Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John"
1733,106940,John and Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John"
1733,106941,Success,Accomac,"North Carolina, port unspecified",,,"Donelson, John"
1734,106942,John and Mary,New York,"North Carolina, port unspecified",,,"Vanpelt, John"
1734,106943,Recovery,Charleston,"North Carolina, port unspecified",,,"Hixts, John"
1734,106944,Tryal,Charleston,"North Carolina, port unspecified",,,"Walker, George"
1735,106945,Hope,Charleston,"North Carolina, port unspecified",,,"Skrine, Jonathan"
1735,106946,Sarah,Charleston,"North Carolina, port unspecified",,,"Skrine, Jonathan"
1737,106947,Batchelor,Charleston,"North Carolina, port unspecified",,,"Lusher, Elisha"
1737,106948,Catherine,Charleston,"North Carolina, port unspecified",,,"Ross, John"
1738,106949,Droitwitch,Charleston,Cape Fear,,,"Lynn, Dai"
1738,106950,Tryall,Charleston,"North Carolina, port unspecified",,,"Jaquess, Henry"
1738,106951,Humming Bird,Charleston,"North Carolina, port unspecified",,,"Painter, John"
1738,106952,Elizabeth,Charleston,"North Carolina, port unspecified",,,"Bryan, Edward"
1738,106953,Tryall,Charleston,"North Carolina, port unspecified",,,"Weldon, John"
1738,106954,Saint Andrew,Charleston,"North Carolina, port unspecified",,,"Urquhart, William"
1739,106955,Tryall,Charleston,"North Carolina, port unspecified",,,"Sisson, George"
1739,106956,Thomas and Tryal,York River,"North Carolina, port unspecified",,,"Nelson, John"
1741,106957,Thomas and Tryal,Hampton,"North Carolina, port unspecified",,,"Nelson, Thomas"
1741,106958,Saint Andrew,Perth Amboy,"North Carolina, port unspecified",,,"Thomson, William"
1744,106959,Sea Flower,"Jamaica, place unspecified","North Carolina, port unspecified",,,"Mayo, James"
1749,106960,Porpoise,New Providence,"North Carolina, port unspecified",,,"Burk, Benjamin"
1753,106961,Unity,Boston,"North Carolina, port unspecified",,,"Clark, Seth"
1757,106962,Herring,Piscataqua,"North Carolina, port unspecified",,,"Stelson, James"
1757,106963,Molly,Piscataqua,"North Carolina, port unspecified",,,"Moore, William"
1758,106964,Endeavour,Boston,"North Carolina, port unspecified",,,"Garret, Andrew"
1759,106965,Rachael,Charleston,Cape Fear,,,"Waldron, Isaac"
1759,106966,Sommers,Charleston,Cape Fear,,,"Foskey, Bryan"
1762,106967,Lovely Peggie,Charleston,Cape Fear,,,"Robison, William"
1762,106968,Polly,Boston,"North Carolina, port unspecified",,,"Hall, Josh"
1762,106969,Billinsgate,Boston,"North Carolina, port unspecified",,,"Willson, Andrew"
1763,106970,Industry,Newport,New Bern,,,"Clark, Seth"
1764,106971,Industry,"Grenada, place unspecified","North Carolina, port unspecified",,,"Morton, William"
1764,106972,Newbern Packet,"Barbados, place unspecified",New Bern,,,
1764,106973,Chance,Delaware River,New Bern,[25346],20,"Shepherd, John"
1764,106974,Wellfleet,Boston,"North Carolina, port unspecified",,,"Atwood, John"
1765,106975,Two Friends,Boston,"North Carolina, port unspecified",,,"Cray, John"
1765,106976,Boone,Charleston,"North Carolina, port unspecified",,,"Gilston, Thomas"
1765,106977,Unity,Boston,"North Carolina, port unspecified",,,"Tower, Elisha"
1765,106978,Stamford,Boston,"North Carolina, port unspecified",,,"Wimble, William"
1767,106979,Elizabeth,Piscataqua,"North Carolina, port unspecified",,,"Purcell, Michael"
1767,106980,Betsey,Piscataqua,"North Carolina, port unspecified",,,"Mace, John"
1767,106981,Cacillia,Savanna la Mar,"North Carolina, port unspecified",,,"Willson, Andrew"
1768,106982,Ruby,Kingston,"North Carolina, port unspecified",,,"Nelson, Robert"
1768,106983,Friendship,Piscataqua,"North Carolina, port unspecified",,,"Smith, Matthew"
1771,106984,Elizabeth,"Jamaica, place unspecified",Roanoke,,3,"Righton, John"
1771,106985,Betsey,"Nevis, port unspecified",Roanoke,,6,"Valentine, Alexander"
1771,106986,Joseph,"Antigua, place unspecified",Roanoke,,16,"Pye, Roger"
1771,106987,Commerce,St. Croix,Roanoke,,5,"Cunningham, John"
1772,106988,Charlotte,"Antigua, place unspecified",Roanoke,,60,"Baily, Wilson"
1772,106989,Relfe,"Jamaica, place unspecified",Roanoke,,24,"Dunlop, John"
1772,106990,George,"Jamaica, place unspecified",New Bern,,4,"Greene, Peleg"
1772,106991,Elizabeth,"Tobago, port unspecified",Roanoke,,10,"Prudden, Daniel"
1773,106992,Nancy,"Antigua, place unspecified",Roanoke,,2,"Valentine, Alexander"
1773,106993,Ann and Elizabeth,"Jamaica, place unspecified",Roanoke,,6,"Langley, Benjamin"
1773,106994,Francis,"Jamaica, place unspecified",Roanoke,,7,"Righton, John"
1773,106995,Sally,St. Croix,Roanoke,,6,"Armistead, William"
1773,106996,Grenada Packet,"Grenada, place unspecified",Brunswick,,20,"Brownett, Edward"
1773,106997,Nancy,"Tobago, port unspecified",Roanoke,,10,"Sisson, Richard"
1774,106998,Three Marys,"Tobago, port unspecified",Brunswick,,2,"Richardson, John"
1774,106999,Hermione,"Jamaica, place unspecified",Brunswick,,8,"Trail, Donald"
1774,107000,Dove,"Grenada, place unspecified",Brunswick,,27,"Withers, Thomas"
1774,107001,Recovery,St. Eustatius,Brunswick,,5,"Savage, Robert"
1774,107002,Harriot,St. Croix,Roanoke,,3,"Arnold, B."
1774,107003,Mary,"Jamaica, place unspecified",Brunswick,,2,"Spears, Robert"
1774,107004,Arthur and Polly,"Jamaica, place unspecified",Brunswick,,8,"Thatcher, Jonathan"
1774,107005,Ranger,"Jamaica, place unspecified",Brunswick,,21,"Watson, William"
1774,107006,Nancy,Charleston,Brunswick,,30,"Robins, Daniel"
1774,107007,Hunter,Curaçao,Roanoke,,6,"Baker, Thomas"
1774,107008,Expedition,"Grenada, place unspecified",Brunswick,,20,"Kinnicutt, William"
1774,107009,Friendship,"Barbados, place unspecified",Brunswick,,17,"Bull, William"
1774,107010,Molly,"Jamaica, place unspecified",Brunswick,,3,"Hawkins, Abraham"
1774,107011,Ranger,"Jamaica, place unspecified",Brunswick,,30,"Watson, William"
1774,107012,Britania,"Jamaica, place unspecified",Brunswick,,20,"Paxton, William"
