Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1863,184282,Maria Amália,Macaé,Rio de Janeiro,,1,"Valença, João José de Oliveira"
1863,184283,Carteado,"Bahia, place unspecified",Rio de Janeiro,,2,"Figueiredo, Custódio Gonçalves de"
1863,184284,Céres,Campos,Rio de Janeiro,,1,"Bloem, José Maria de Albuquerque"
1863,184285,Duarte I,Ubatuba,Rio de Janeiro,,1,"Cunha, José Rodrigues da"
1863,184286,Paquete de Jurumirim,Jerumirim,Rio de Janeiro,,35,"Alves, Elias José"
1863,184287,Três de Maio,Rio São João,Rio de Janeiro,,1,"Barbosa, Antônio José"
1863,184288,S Maria,Santos,Rio de Janeiro,,4,"Ferreira, Joaquim Silva"
1863,184289,Feliz Oriente,Cabo Frio,Rio de Janeiro,,1,"Dias, Samuel José"
1863,184290,Pedro II,Parati,Rio de Janeiro,,1,"Souza, Antônio José de"
1863,184291,Diligente,Caravelas,Rio de Janeiro,,5,"Gomes, Carlos Antônio"
1863,184292,Marambaia,Mangaratiba,Rio de Janeiro,,7,"Castro, Antônio Lopes de"
1863,184293,Divina Providência,Laguna,Rio de Janeiro,,1,"Bessa, João José de"
1863,184294,Imperador,Santa Catarina,Rio de Janeiro,,3,"Maciel, Joaquim Antônio da Silveira"
1863,184295,Minerva,Macaé,Rio de Janeiro,,3,"Santos, Manoel dos"
1863,184296,Norma,Ubatuba,Rio de Janeiro,,1,"Cabral, Manoel Pimenta"
1863,184297,Tocantins,Portos do Norte,Rio de Janeiro,,3,"Duarte, Pedro Hipólito"
1863,184298,Mariana,Parati,Rio de Janeiro,,7,"Caixa, José Antônio de Oliveira"
1863,184299,Paquete de Jurumirim,Parati,Rio de Janeiro,,4,"Tavares, R.J."
1863,184300,Pedro II,Parati,Rio de Janeiro,,1,"Souza, Antônio José de"
1863,184301,Céres,Campos,Rio de Janeiro,,4,"Bloem, José Maria de Albuquerque"
1863,184302,Diligente,Campos,Rio de Janeiro,,7,"Gomes, Carlos Antônio"
1863,184303,Constante,Porto Alegre,Rio de Janeiro,,1,"Silva, Manoel Francisco da"
1863,184304,Zargo,Porto Alegre,Rio de Janeiro,,3,"Papafina, Francisco José da Silva"
1863,184305,Marambaia,Mangaratiba,Rio de Janeiro,,6,"Castro, Antônio Lopes de"
1863,184306,Duarte I,Ubatuba,Rio de Janeiro,,5,"Costa, José Rodrigues da"
1863,184307,Juparaná,São Mateus,Rio de Janeiro,,5,"Barbosa, José Martins"
